AGAF	AFT		Afutara Airport	Afutara, Solomon Islands
CYVK	YVE		Vernon Regional Airport	Vernon, British Columbia, Canada
CYVM	YVM		Qikiqtarjuaq Airport	Qikiqtarjuaq, Nunavut, Canada
CYVO	YVO		Val-d'Or Airport	Val-d'Or, Quebec, Canada
CYVP	YVP		Kuujjuaq Airport	Kuujjuaq, Quebec, Canada
CYVQ	YVQ		Norman Wells Airport	Norman Wells, Northwest Territories, Canada
CYVR	YVR		Vancouver International Airport	Vancouver, British Columbia, Canada
CYVT	YVT		Buffalo Narrows Airport	Buffalo Narrows, Saskatchewan, Canada
CYVV	YVV		Wiarton Airport	Wiarton, Ontario, Canada
CYVZ	YVZ		Deer Lake Airport	Deer Lake, Ontario, Canada
CYWA	YWA		Petawawa Airport	Petawawa, Ontario, Canada
CYWG	YWG		Winnipeg James Armstrong Richardson International Airport	Winnipeg, Manitoba, Canada
CYWH	YWH		Victoria Inner Harbour Airport	Victoria, British Columbia, Canada
CYWJ	YWJ		Deline Airport	Deline, Northwest Territories, Canada
CYWK	YWK		Wabush Airport	Wabush, Labrador, Canada
CYWL	YWL		Williams Lake Airport	Williams Lake, British Columbia, Canada
CYWO	YWO		Lupin Airport (closed)	Lupin Mine, Nunavut, Canada
CYWP	YWP		Webequie Airport	Webequie, Ontario, Canada
CYWR	YWR		White River Airport	White River, Ontario, Canada
CYWV	YWV		Wainwright Aerodrome	Wainwright, Alberta, Canada
CYWY	YWY		Wrigley Airport	Wrigley, Northwest Territories, Canada
CYXC	YXC		Cranbrook/Canadian Rockies International Airport	Cranbrook, British Columbia, Canada
CYXD	YXD		Edmonton City Centre (Blatchford Field) Airport	Edmonton, Alberta, Canada
CYXE	YXE		Saskatoon John G. Diefenbaker International Airport	Saskatoon, Saskatchewan, Canada
CYXH	YXH		Medicine Hat Airport	Medicine Hat, Alberta, Canada
CYXJ	YXJ		Fort St. John Airport	Fort St. John, British Columbia, Canada
CYXK	YXK		Rimouski Airport	Rimouski, Quebec, Canada
CYXL	YXL		Sioux Lookout Airport	Sioux Lookout, Ontario, Canada
CYXN	YXN		Whale Cove Airport	Whale Cove, Nunavut, Canada
CYXP	YXP		Pangnirtung Airport	Pangnirtung, Nunavut, Canada
CYXQ	YXQ		Beaver Creek Airport	Beaver Creek, Yukon, Canada
CYXR	YXR		Earlton - Timiskaming Regional Airport	Earlton, Ontario, Canada
CYXS	YXS		Prince George Airport	Prince George, British Columbia, Canada
CYXT	YXT		Northwest Regional Airport	Terrace, British Columbia and Kitimat, British Columbia, Canada
CYXU	YXU		London International Airport	London, Ontario, Canada
CYXX	YXX		Abbotsford International Airport	Abbotsford, British Columbia, Canada
CYXY	YXY		Erik Nielsen Whitehorse International Airport	Whitehorse, Yukon, Canada
CYXZ	YXZ		Wawa Airport	Wawa, Ontario, Canada
CYYB	YYB		North Bay/Jack Garland Airport	North Bay, Ontario, Canada
CYYC	YYC		Calgary International Airport	Calgary, Alberta, Canada
CYYD	YYD		Smithers Airport	Smithers, British Columbia, Canada
CYYE	YYE		Fort Nelson Airport	Fort Nelson, British Columbia, Canada
CYYF	YYF		Penticton Airport	Penticton, British Columbia, Canada
CYYG	YYG		Charlottetown Airport	Charlottetown, Prince Edward Island, Canada
CYYH	YYH		Taloyoak Airport	Taloyoak, Nunavut, Canada
CYYI	YYI		Rivers Airport	Rivers, Manitoba, Canada
CYYJ	YYJ		Victoria International Airport	Victoria, British Columbia, Canada
CYYL	YYL		Lynn Lake Airport	Lynn Lake, Manitoba, Canada
CYYM	YYM		Cowley Airport	Cowley, Alberta, Canada
CYYN	YYN		Swift Current Airport	Swift Current, Saskatchewan, Canada
CYYQ	YYQ		Churchill Airport	Churchill, Manitoba, Canada
CYYR	YYR		CFB Goose Bay / Goose Bay Airport	Goose Bay, Labrador, Canada
CYYT	YYT		St. John's International Airport	St. John's, Newfoundland and Labrador, Canada
CYYU	YYU		Kapuskasing Airport	Kapuskasing, Ontario, Canada
CYYW	YYW		Armstrong Airport	Armstrong, Ontario, Canada
CYYY	YYY		Mont-Joli Airport	Mont-Joli, Quebec, Canada
CYYZ	YYZ		Toronto Pearson International Airport	Mississauga, Ontario, Canada
CYZA	YZA		Ashcroft Airport	Ashcroft, British Columbia, Canada
CYZE	YZE		Gore Bay-Manitoulin Airport	Gore Bay, Ontario, Canada
CYZF	YZF		Yellowknife Airport	Yellowknife, Northwest Territories, Canada
CYZG	YZG		Salluit Airport	Salluit, Quebec, Canada
CYZH	YZH		Slave Lake Airport	Slave Lake, Alberta, Canada
CYZP	YZP		Sandspit Airport	Sandspit, British Columbia, Canada
CYZR	YZR		Sarnia Chris Hadfield Airport	Sarnia, Ontario, Canada
CYZS	YZS		Coral Harbour Airport	Coral Harbour, Nunavut, Canada
CYZT	YZT		Port Hardy Airport	Port Hardy, British Columbia, Canada
CYZU	YZU		Whitecourt Airport	Whitecourt, Alberta, Canada
CYZV	YZV		Sept-Îles Airport	Sept-Îles, Quebec, Canada
CYZW	YZW		Teslin Airport	Teslin, Yukon, Canada
CYZX	YZX		CFB Greenwood / Greenwood Airport	Greenwood, Nova Scotia, Canada
CZAC	ZAC		York Landing Airport	York Landing, Manitoba, Canada
CZAM	YSN		Salmon Arm Airport	Salmon Arm, British Columbia, Canada
CZBB	YDT		Boundary Bay Airport	Delta, British Columbia, Canada
CZBD	ILF		Ilford Airport	Ilford, Manitoba, Canada
CZBF	ZBF		Bathurst Airport	Bathurst, New Brunswick, Canada
CZBM	ZBM		Bromont (Roland Désourdy) Airport	Bromont, Quebec, Canada
CZEE	KES		Kelsey Airport	Kelsey, Manitoba, Canada
CZEM	ZEM		Eastmain River Airport	Eastmain, Quebec, Canada
CZFA	ZFA		Faro Airport	Faro, Yukon, Canada
CZFD	ZFD		Fond-du-Lac Airport	Fond-du-Lac, Saskatchewan, Canada
CZFG	XPK		Pukatawagan Airport	Pukatawagan, Manitoba, Canada
CZFM	ZFM		Fort McPherson Airport	Fort McPherson, Northwest Territories, Canada
CZFN	ZFN		Tulita Airport (Fort Norman Airport)	Tulita, Northwest Territories, Canada
CZGF	ZGF		Grand Forks Airport	Grand Forks, British Columbia, Canada
CZGI	ZGI		Gods River Airport	Gods River, Manitoba, Canada
CZGR	ZGR		Little Grand Rapids Airport	Little Grand Rapids, Manitoba, Canada
CZHP	ZHP		High Prairie Airport	High Prairie, Alberta, Canada
CZJG	ZJG		Jenpeg Airport	Jenpeg, Manitoba, Canada
CZJN	ZJN		Swan River Airport	Swan River, Manitoba, Canada
CZKE	ZKE		Kashechewan Airport	Kashechewan, Ontario, Canada
CZLQ	YTD		Thicket Portage Airport	Thicket Portage, Manitoba, Canada
CZMD	MSA		Muskrat Dam Airport	Muskrat Dam, Ontario, Canada
CZML	ZMH		South Cariboo Regional Airport	108 Mile Ranch, British Columbia, Canada
CZMT	ZMT		Masset Airport	Masset, British Columbia, Canada
CZNG	XPP		Poplar River Airport	Poplar River, Manitoba, Canada
CZPB	ZPB		Sachigo Lake Airport	Sachigo Lake, Ontario, Canada
CZPC	WPC		Pincher Creek Airport	Pincher Creek, Alberta, Canada
CZPO	ZPO		Pinehouse Lake Airport	Pinehouse Lake, Saskatchewan, Canada
CZRJ	ZRJ		Round Lake (Weagamow Lake) Airport	Round Lake, Ontario, Canada
CZSJ	ZSJ		Sandy Lake Airport	Sandy Lake, Ontario, Canada
CZSN	XSI		South Indian Lake Airport	South Indian Lake, Manitoba, Canada
CZST	ZST		Stewart Aerodrome	Stewart, British Columbia, Canada
CZSW	ZSW		Prince Rupert/Seal Cove Water Airport	Prince Rupert, British Columbia, Canada
CZTA	YDV		Bloodvein River Airport	Bloodvein River, Manitoba, Canada
CZTM	ZTM		Shamattawa Airport	Shamattawa, Manitoba, Canada
CZUC	ZUC		Ignace Municipal Airport	Ignace, Ontario, Canada
CZUM	ZUM		Churchill Falls Airport	Churchill Falls, Newfoundland and Labrador, Canada
CZWH	XLB		Lac Brochet Airport	Lac Brochet, Manitoba, Canada
CZWL	ZWL		Wollaston Lake Airport	Wollaston Lake, Saskatchewan, Canada
DAAB	QLD		Blida Airport	Blida, Algeria
DAAD	BUJ		Ain Eddis Airport	Bou Saada, M'Sila, Algeria
DAAE	BJA		Soummam Airport	Bejaia, Algeria
DAAG	ALG		Houari Boumediene Airport	Algiers, Algeria
DAAJ	DJG		Tiska Airport	Djanet, Algeria
DAAK	QFD		Boufarik Airport	Boufarik, Algeria
DAAS	QSF		Ain Arnat Airport	Setif, Algeria
DAAT	TMR		Tamanrasset Airport	Tamanrasset, Algeria
DAAV	GJL		Jijel Ferhat Abbas Airport	Jijel, Algeria
DAAY	MZW		Mecheria Airport	Mecheria, Algeria
DAAZ	QZN		Relizane Airport	Relizane, Algeria
DABB	AAE		Rabah Bitat Airport (Les Salines Airport)	Annaba, Algeria
DABC	CZL		Mohamed Boudiaf International Airport	Constantine, Algeria
DABP	SKI		Skikda Airport	Skikda, Algeria
DABT	BLJ		Batna Airport	Batna, Algeria
DAFH	HRM		Tilrempt Airport	Hassi R'Mel, Algeria
DAOI	CFK		Chlef International Airport	Chlef, Algeria
DAOL	TAF		Oran Tafaraoui Airport	Oran, Algeria
DAOO	ORN		Oran Es Sénia Airport	Oran, Algeria
DAOR	CBH		Boudghene Ben Ali Lotfi Airport	Béchar, Algeria
DAOV	MUW		Ghriss Airport	Ghriss, Algeria
DATG	INF		In Guezzam Airport	In Guezzam, Algeria
DATM	BMW		Bordj Badji Mokhtar Airport	Bordj Badji Mokhtar, Algeria
DAUA	AZR		Touat Cheikh Sidi Mohamed Belkebir Airport	Adrar, Algeria
DAUB	BSK		Biskra Airport	Biskra, Algeria
DAUE	ELG		El Golea Airport	El Golea, Algeria
DAUG	GHA		Noumérat - Moufdi Zakaria Airport	Ghardaia, Algeria
DAUH	HME		Oued Irara Airport	Hassi Messaoud, Algeria
DAUI	INZ		In Salah Airport	In Salah, Algeria
DAUL	LOO		Laghouat Airport (L'Mekrareg Airport)	Laghouat, Algeria
DAUO	ELU		Guemar Airport	El Oued, Algeria
DAUZ	IAM		In Amenas Airport	In Amenas, Algeria
DBBB	COO		Cadjehoun Airport	Cotonou, Benin
DBBD	DJA		Djougou Airport	Djougou, Benin
DBBK	KDC		Kandi Airport	Kandi, Benin
DBBN	NAE		Natitingou Airport	Natitingou, Benin
DBBP	PKO		Parakou Airport	Parakou, Benin
DBBS	SVF		Savé Airport	Savé, Benin
DFCA	XKY		Kaya Airport	Kaya, Burkina Faso
DFCC	OUG		Ouahigouya Airport	Ouahigouya, Burkina Faso
DFCJ	XDJ		Djibo Airport	Djibo, Burkina Faso
DFCL	XLU		Leo Airport	Leo, Burkina Faso
DFCP	PUP		Pô Airport	Pô, Burkina Faso
DFEA	XBO		Boulsa Airport	Boulsa, Burkina Faso
DFEB	XBG		Bogande Airport	Bogande, Burkina Faso
DFED	DIP		Diapaga Airport	Diapaga, Burkina Faso
DFEE	DOR		Dori Airport	Dori, Burkina Faso
DFEF	FNG		Fada N'gourma Airport	Fada N'gourma, Burkina Faso
DFEG	XGG		Gorom Gorom Airport	Gorom Gorom, Burkina Faso
DFEL	XKA		Kantchari Airport	Kantchari, Burkina Faso
DFEM	TMQ		Tambao Airport	Tambao, Burkina Faso
DFEP	XPA		Pama Airport	Pama, Burkina Faso
DFER	ARL		Arly Airport	Arly, Burkina Faso
DFES	XSE		Sebba Airport	Sebba, Burkina Faso
DFET	TEG		Tenkodogo Airport	Tenkodogo, Burkina Faso
DFEZ	XZA		Zabré Airport	Zabré, Burkina Faso
DFFD	OUA		Ouagadougou Airport	Ouagadougou, Burkina Faso
DFOB	BNR		Banfora Airport	Banfora, Burkina Faso
DFOD	DGU		Dedougou Airport	Dédougou, Burkina Faso
DFOG	XGA		Gaoua Airport	Gaoua, Burkina Faso
DFON	XNU		Nouna Airport	Nouna, Burkina Faso
DFOO	BOY		Bobo Dioulasso Airport	Bobo-Dioulasso, Burkina Faso
DFOT	TUQ		Tougan Airport	Tougan, Burkina Faso
DFOU	XDE		Diebougou Airport	Diebougou, Burkina Faso
DFOY	XAR		Aribinda Airport	Aribinda, Burkina Faso
DGAA	ACC		Kotoka International Airport	Accra, Ghana
DGLE	TML		Tamale Airport	Tamale, Northern Region, Ghana
DGSI	KMS		Kumasi Airport	Kumasi, Ghana
DGSN	NYI		Sunyani Airport	Sunyani, Ghana
DGTK	TKD		Takoradi Airport	Sekondi-Takoradi, Ghana
DIAO	ABO		Aboisso Airport	Aboisso, Côte d'Ivoire
DIAP	ABJ		Port Bouet Airport (Felix Houphouet Boigny Int'l)	Abidjan, Côte d'Ivoire
DIBI	BXI		Boundiali Airport	Boundiali, Côte d'Ivoire
DIBK	BYK		Bouaké Airport	Bouaké, Côte d'Ivoire
DIBN	BQO		Bouna Airport	Bouna, Côte d'Ivoire
DIBU	BDK		Soko Airport	Bondoukou, Côte d'Ivoire
DIDK	DIM		Dimbokro Airport	Dimbokro, Côte d'Ivoire (Ivory Coast)
DIDL	DJO		Daloa Airport	Daloa, Côte d'Ivoire (Ivory Coast)
DIDV	DIV		Divo Airport	Divo, Côte d'Ivoire (Ivory Coast)
DIFK	FEK		Ferkessédougou Airport	Ferkessédougou, Côte d'Ivoire
DIGA	GGN		Gagnoa Airport	Gagnoa, Côte d'Ivoire
DIGL	GGO		Guiglo Airport	Guiglo, Côte d'Ivoire
DIGN	BBV		Bereby Airport	Bereby, Côte d'Ivoire
DIKO	HGO		Korhogo Airport	Korhogo, Côte d'Ivoire
DIMN	MJC		Man Airport	Man, Côte d'Ivoire
DIOD	KEO		Odienné Airport	Odienné, Côte d'Ivoire
DISS	ZSS		Sassandra Airport	Sassandra, Côte d'Ivoire
DIYO	ASK		Yamoussoukro Airport	Yamoussoukro, Côte d'Ivoire
DNAA	ABV		Nnamdi Azikiwe International Airport	Abuja, Nigeria
DNAI	QUO		Akwa Ibom International Airport	Uyo, Akwa Ibom State, Nigeria
DNAK	AKR		Akure Airport	Akure, Nigeria
DNBE	BNI		Benin City Airport	Benin City, Nigeria
DNCA	CBQ		Calabar Airport	Calabar, Nigeria
DNEN	ENU		Enugu Airport	Enugu, Nigeria
DNGU	QUS		Gusau Airport	Gusau, Nigeria
DNIB	IBA		Ibadan Airport	Ibadan, Nigeria
DNIL	ILR		Ilorin Airport	Ilorin, Nigeria
DNIM	QOW		Sam Mbakwe Airport	Owerri, Nigeria
DNJO	JOS		Jos Airport (Yakubu Gowon Airport)	Jos, Nigeria
DNKA	KAD		Kaduna Airport	Kaduna, Nigeria
DNKN	KAN		Mallam Aminu Kano International Airport	Kano, Nigeria
DNMA	MIU		Maiduguri International Airport	Maiduguri, Nigeria
DNMK	MDI		Makurdi Airport	Makurdi, Benue State, Nigeria
DNMM	LOS		Murtala Muhammed International Airport	Lagos, Nigeria
DNMN	MXJ		Minna Airport	Minna, Nigeria
DNPO	PHC		Port Harcourt International Airport (Omagwa Int'l)	Port Harcourt, Nigeria
DNYO	YOL		Yola Airport	Yola, Nigeria
DNZA	ZAR		Zaria Airport	Zaria, Nigeria
DRRB	BKN		Birni Nkoni Airport	Birni Nkoni, Niger
DRRM	MFQ		Maradi Airport	Maradi, Niger
DRRN	NIM		Diori Hamani International Airport	Niamey, Niger
DRRT	THZ		Tahoua Airport	Tahoua, Niger
DRZA	AJY		Mano Dayak International Airport	Agadez, Niger
DRZL	RLT		Arlit Airport	Arlit, Niger
DRZR	ZND		Zinder Airport	Zinder, Niger
DTKA	TBJ		Tabarka - 7 Novembre International Airport	Tabarka, Tunisia
DTMB	MIR		Monastir Habib Bourguiba International Airport	Monastir, Tunisia
DTNZ	NBE		Enfidha Airport	Enfidha, Tunisia
DTTA	TUN		Tunis-Carthage International Airport	Tunis / Carthage, Tunisia
DTTF	GAF		Gafsa - Ksar International Airport	Gafsa, Tunisia
DTTG	GAE		Gabès - Matmata International Airport	Gabès, Tunisia
DTTJ	DJE		Zarzis Airport	Djerba, Tunisia
DTTK	QKN		Kairouan Airport	Kairouan, Tunisia
DTTB			Bizerte-Sidi Ahmed Air Base	Bizerte, Tunisia
DTTR	EBM		El Borma Airport	El Borma, Tunisia
DTTX	SFA		Thyna/El Maou Airport	Sfax, Tunisia
DTTZ	TOE		Tozeur, Tunisia (Aeroport International Tozeur Nefta)	Tozeur, Tunisia, Tunisia
DXNG	LRL		Niamtougou International Airport	Niamtougou, Togo
DXXX	LFW		Lomé-Tokoin Airport	Lomé, Togo
EBAW	ANR		Antwerp International Airport	Antwerp, Belgium
EBBR	BRU		Brussels Airport (Zaventem Airport)	Brussels, Belgium
EBCI	CRL		Brussels South Charleroi Airport	Charleroi, Wallonia, Belgium
EBGT	GNE		St. Denijs-Westrem Airport (Ghent Airport)	Ghent, Belgium
EBKT	KJK		Kortrijk-Wevelgem International Airport	Wevelgem, Belgium
EBKW	KNO		Westkapelle Airport	Knokke-Heist, Belgium
EBLG	LGG		Liège Airport (Bierset Airport)	Liège, Wallonia, Belgium
EBOS	OST		Ostend-Bruges International Airport	Flanders, Belgium
EBZH	QHA		Kiewit Airport	Hasselt, Belgium
EBZR	OBL		Zoersel-Oostmalle Airfield	Zoersel / Oostmalle, Belgium
EDAC	AOC		Leipzig-Altenburg Airport	Altenburg, Thuringia, Germany
EDAH	HDF		Heringsdorf Airport	Heringsdorf, Mecklenburg-Vorpommern, Germany
EDAU	IES		Göhlis Airport	Riesa, Germany
EDAY	QPK		Strausberg Airport	Strausberg, Brandenburg, Germany
EDBC	CSO		Magdeburg-Cochstedt Airport	Magdeburg, Germany
EDBG	GWW		RAF Gatow	Berlin, Germany
EDBH	BBH		Stralsund Barth Airport	Barth, Mecklenburg-Vorpommern, Germany
EDCD	CBU		Cottbus-Drewitz Airport	Cottbus, Brandenburg, Germany
EDCG	GTI		Rügen Airport	Güttin, Mecklenburg-Vorpommern, Germany
EDDB	SXF		Berlin-Schönefeld International Airport	Berlin, Germany
EDDC	DRS		Dresden Klotzsche Airport	Dresden, Germany
EDDE	ERF		Erfurt Airport	Erfurt, Germany
EDDF	FRA		Frankfurt International Airport	Frankfurt, Germany
EDDG	FMO		Münster Osnabrück International Airport	Greven, North Rhine-Westphalia, Germany
EDDH	HAM		Hamburg Airport (Fuhlsbüttel Airport)	Hamburg / Fuhlsbüttel, Germany
EDDI	THF		Tempelhof International Airport (closed 2008)	Berlin, Germany
EDDK	CGN		Cologne Bonn Airport (Köln/Bonn - Konrad Adenauer)	Cologne, North Rhine-Westphalia, Germany
EDDL	DUS		Düsseldorf International Airport	Düsseldorf, North Rhine-Westphalia, Germany
EDDM	MUC		Munich Airport (succeeded Munich-Riem Airport)	Munich, Bavaria, Germany
EDDN	NUE		Nuremberg Airport	Nuremberg, Germany
EDDP	LEJ		Leipzig/Halle Airport	Leipzig, Germany
EDDR	SCN		Saarbrücken Airport	Saarbrücken, Germany
EDDS	STR		Echterdingen Airport	Stuttgart, Germany
EDDT	TXL		Berlin Tegel Airport	Tegel / Berlin, Germany
EDDV	HAJ		Hanover - Langenhagen Airport	Hanover, Lower Saxony, Germany
EDDW	BRE		Bremen Airport	Bremen, Germany
EDFH	HHN		Frankfurt-Hahn Airport	Rhineland-Palatinate, Germany
EDFM	MHG		Mannheim City Airport	Mannheim, Germany
EDFZ	QMZ		Mainz-Finthen Airport	Mainz, Rhineland-Palatinate, Germany
EDGS	SGE		Siegerland Airport	Burbach, Germany
EDHI	XFW		Hamburg Finkenwerder Airport	Hamburg, Germany
EDHK	KEL		Kiel Holtenau Airport	Kiel, Schleswig-Holstein, Germany
EDHL	LBC		Lübeck Airport (Blankensee Airport)	Lübeck (near Hamburg), Schleswig-Holstein, Germany
EDHN	EUM		Wasbek Airport	Neumünster, Schleswig-Holstein, Germany
EDIU	HDB		Heidelberg Airport	Heidelberg, Baden-Württemberg, Germany
EDJA	FMM		Allgäu Airport	Memmingen, Bavaria, Germany
EDKA	AAH		Merzbrück Airport	Aachen, Germany
EDLE	ESS		Essen/Mülheim Airport	Essen, Germany
EDLI	BFE		Bielefeld Airport	Bielefeld, North Rhine-Westphalia, Germany
EDLN	MGL		Düsseldorf-Mönchengladbach Airport	Mönchengladbach, Germany
EDLP	PAD		Paderborn/Lippstadt Airport	Paderborn, Germany
EDLV	NRN		Weeze Airport (formerly Niederrhein Airport)	Weeze, Niederrhein, Germany
EDLW	DTM		Dortmund Airport	Dortmund, North Rhine-Westphalia, Germany
EDMA	AGB		Augsburg Airport	Augsburg, Bavaria, Germany
EDMO	OBF		Oberpfaffenhofen Airport	Oberpfaffenhofen, Germany
EDMS	RBM		Wallmuhle Airport	Straubing, Bavaria, Germany
EDNY	FDH		Friedrichshafen Airport (Bodensee Airport)	Friedrichshafen, Bodensee, Germany
EDOL	FRF		Oschersleben Airport	Oschersleben, Saxony-Anhalt, Germany
EDOP	SZW		Schwerin-Parchim Airport	Parchim, Germany
EDQD	BYU		Bindlacher Berg Airport	Bayreuth, Bavaria, Germany
EDQM	HOQ		Hof Airport (Plauen Airport)	Hof, Bavaria, Germany
EDRB	BBJ		Bitburg Airport (former Bitburg Air Base)	Bitburg, Rhineland-Palatinate, Germany
EDRZ	ZQW		Zweibrücken Airport	Zweibrücken, Germany
EDSB	FKB		Baden Airpark (Karlsruhe/Baden-Baden Airport)	Karlsruhe/Baden-Baden, Baden-Württemberg, Germany
EDTL	LHA		Black Forest Airport (Lahr Airport)	Lahr, Baden-Württemberg, Germany
EDVE	BWE		Braunschweig-Wolfsburg Regional Airport	Braunschweig, Lower Saxony, Germany
EDVK	KSF		Kassel Calden Airport	Kassel, Hesse, Germany
EDWB	BRV		Bremerhaven Airport	Bremerhaven, Bremen, Germany
EDWD	XLW		Lemwerder Airport	Lemwerder, Lower Saxony, Germany
EDWE	EME		Emden Airport	Emden, Lower Saxony, Germany
EDWG	AGE		Wangerooge Airport	Wangerooge, Lower Saxony, Germany
EDWI	WVN		JadeWeser Airport	Wilhelmshaven, Lower Saxony, Germany
EDWJ	JUI		Juist Airport	Juist, Lower Saxony, Germany
EDWL	LGO		Langeoog Airport	Langeoog, Lower Saxony, Germany
EDWR	BMK		Borkum Airport	Borkum, Lower Saxony, Germany
EDWS	NOD		Norden-Norddeich Airport	Norden, Lower Saxony, Germany
EDWY	NRD		Norderney Airport	Norderney, Germany
EDWZ	BMR		Baltrum Airport	Baltrum, Lower Saxony, Germany
EDXB	HEI		Heide-Büsum Airport	Heide, Schleswig-Holstein, Germany
EDXF	FLF		Schäferhaus Airport	Flensburg, Schleswig-Holstein, Germany
EDXH	HGL		Düne Airport (Helgoland Airport)	Düne, Helgoland, Schleswig-Holstein, Germany
EDXW	GWT		Sylt Airport (Westerland Airport)	Westerland, Germany
EEKA	KDL		Kärdla Airport	Kärdla, Hiiumaa, Estonia
EEKE	URE		Kuressaare Airport	Kuressaare, Saaremaa, Estonia
EEPU	EPU		Pärnu Airport	Pärnu, Estonia
EETN	TLL		Lennart Meri Tallinn Airport	Tallinn, Estonia
EETU	TAY		Tartu-Ülenurme Airport	Tartu, Estonia
EFET	ENF		Enontekiö Airport	Enontekiö, Finland
EFHA	KEV		Halli Airport	Kuorevesi, Finland
EFHF	HEM		Helsinki-Malmi Airport	Helsinki / Malmi, Finland
EFHK	HEL		Helsinki Airport	Helsinki / Vantaa, Finland
EFHV	HYV		Hyvinkää Airport	Hyvinkää, Finland
EFIT	KTQ		Kitee Airport	Kitee, Finland
EFIV	IVL		Ivalo Airport	Ivalo, Finland
EFJO	JOE		Joensuu Airport	Joensuu, Finland
EFJY	JYV		Jyväskylä Airport	Jyväskylä, Finland
EFKA	KAU		Kauhava Airport	Kauhava, Finland
EFKE	KEM		Kemi-Tornio Airport	Kemi / Tornio, Finland
EFKI	KAJ		Kajaani Airport	Kajaani, Finland
EFKJ	KHJ		Kauhajoki Airport	Kauhajoki, Finland
EFKK	KOK		Kokkola-Pietarsaari Airport	Kokkola / Jakobstad, Finland
EFKS	KAO		Kuusamo Airport	Kuusamo, Finland
EFKT	KTT		Kittilä Airport	Kittilä, Finland
EFKU	KUO		Kuopio Airport	Kuopio / Siilinjärvi, Finland
EFLP	LPP		Lappeenranta Airport	Lappeenranta, Finland
EFMA	MHQ		Mariehamn Airport	Mariehamn, Åland Islands, Finland
EFMI	MIK		Mikkeli Airport	Mikkeli, Finland
EFOU	OUL		Oulu Airport	Oulu, Finland
EFPO	POR		Pori Airport	Pori, Finland
EFRO	RVN		Rovaniemi Airport	Rovaniemi, Finland
EFSI	SJY		Seinäjoki Airport	Seinäjoki, Finland
EFTP	TMP		Tampere-Pirkkala Airport	Tampere / Pirkkala, Finland
EFTU	TKU		Turku Airport	Turku, Finland
EFUT	UTI		Utti Airport	Utti / Valkeala, Finland
EFVA	VAA		Vaasa Airport	Vaasa, Finland
EFVR	VRK		Varkaus Airport	Joroinen, Finland
EFYL	YLI		Ylivieska Airport	Ylivieska, Finland
EGAA	BFS		Belfast International Airport	Belfast, Northern Ireland, United Kingdom
EGAB	ENK		Enniskillen/St Angelo Airport	Enniskillen, Co Fermanagh, Northern Ireland, United Kingdom
EGAC	BHD		George Best Belfast City Airport	Belfast, Northern Ireland, United Kingdom
EGAE	LDY		City of Derry Airport (Londonderry Eglinton Airport)	Derry, Northern Ireland, United Kingdom
EGBB	BHX		Birmingham Airport	Birmingham, England, United Kingdom
EGBE	CVT		Coventry Airport	Coventry, West Midlands, England, United Kingdom
EGBJ	GLO		Gloucester Airport	Gloucester / Cheltenham, England, United Kingdom
EGBK	ORM		Sywell Aerodrome	Northampton / Peterborough, United Kingdom
EGCC	MAN		Manchester Airport	Manchester, United Kingdom
EGCN	DSA		Robin Hood Airport Doncaster Sheffield	Doncaster, England, United Kingdom
EGHQ	NQY		Newquay Cornwall International Airport	Newquay, England, United Kingdom
EGDL	LYE		RAF Lyneham	Wiltshire, England, United Kingdom
EGDX	DGX		RAF St Athan	St Athan, Wales, United Kingdom
EGDY	YEO		RNAS Yeovilton	Yeovilton, England, United Kingdom
EGEC	CAL		Campbeltown Airport (RAF Machrihanish)	Campbeltown, Scotland, United Kingdom
